couleur_id,couleur_nom,couleur_code,nombre_pieces
0,Black,#05131D,196368
15,White,#FFFFFF,124682
71,Light Bluish Gray,#A0A5A9,119722
72,Dark Bluish Gray,#6C6E68,88334
4,Red,#C91A09,83906
14,Yellow,#F2CD37,57178
1,Blue,#0055BF,45022
70,Reddish Brown,#582A12,36838
19,Tan,#E4CD9E,34039
7,Light Gray,#9BA19D,28126
2,Green,#237841,22121
47,Trans-Clear,#FCFCFC,14899
25,Orange,#FE8A18,14108
297,Pearl Gold,#AA7F2E,12838
27,Lime,#BBE90B,12231
28,Dark Tan,#958A73,10725
36,Trans-Red,#C91A09,9235
272,Dark Blue,#0A3463,9199
320,Dark Red,#720E0F,9175
41,Trans-Light Blue,#AEEFEC,8840
9999,[No Color/Any Color],#05131D,8708
8,Dark Gray,#6D6E5C,8108
179,Flat Silver,#898788,7927
191,Bright Light Orange,#F8BB3D,7321
322,Medium Azure,#36AEBF,7084
84,Medium Nougat,#AA7D55,6310
10,Bright Green,#4B9F4A,6132
182,Trans-Orange,#F08F1C,5811
46,Trans-Yellow,#F5CD2F,5541
85,Dark Purple,#3F3691,4545
29,Bright Pink,#E4ADC8,4510
484,Dark Orange,#A95500,4334
288,Dark Green,#184632,4123
3,Dark Turquoise,#008F9B,4001
5,Dark Pink,#C870A0,3973
26,Magenta,#923978,3947
33,Trans-Dark Blue,#0020A0,3845
321,Dark Azure,#078BC9,3806
308,Dark Brown,#352100,3600
40,Trans-Brown,#635F52,3485
6,Brown,#583927,3403
378,Sand Green,#A0BCAC,3326
73,Medium Blue,#5A93DB,3142
34,Trans-Green,#84B68D,3021
42,Trans-Neon Green,#F8F184,2750
135,Pearl Light Gray,#9CA3A8,2584
57,Trans-Neon Orange,#FF800D,2449
30,Medium Lavender,#AC78BA,2259
226,Bright Light Yellow,#FFF03A,2198
323,Light Aqua,#ADC3C0,2194
1103,Pearl Titanium,#3E3C39,2083
45,Trans-Dark Pink,#DF6695,1883
31,Lavender,#E1D5ED,1588
379,Sand Blue,#6074A1,1515
80,Metallic Silver,#A5A9B4,1386
212,Bright Light Blue,#9FC3E9,1367
326,Olive Green,#9B9A5A,1362
1050,Coral,#FF698F,1236
35,Trans-Bright Green,#D9E4A7,1124
334,Chrome Gold,#BBA53D,917
52,Trans-Purple,#A5A5CB,855
158,Yellowish Green,#DFEEA5,818
383,Chrome Silver,#E0E0E0,643
351,Medium Dark Pink,#F785B1,609
82,Metallic Gold,#DBAC34,569
92,Nougat,#D09168,433
13,Pink,#FC97AC,334
78,Light Nougat,#F6D7B3,310
74,Medium Green,#73DCA1,303
143,Trans-Medium Blue,#CFE2F7,299
22,Purple,#81007B,297
1062,Vibrant Yellow,#EBD800,280
462,Medium Orange,#FFA70B,266
